,image_name,x1,x2,y1,y2
0,1467891670691DSC_0582.png,40.0,103.0,40.0,419.0
1,1475151786691DSC00560.png,200.0,278.0,87.0,411.0
2,1480334114405_R2A3620.png,209.0,273.0,67.0,385.0
3,JPEG_20160712_161047_1000606860114.png,169.0,219.0,36.0,407.0
4,JPEG_20160403_174522_-1137349501.png,36.0,97.0,46.0,433.0
5,1472901299234DSC_3812.png,47.0,106.0,60.0,396.0
6,JPEG_20160711_122349_1000194202357.png,148.0,193.0,34.0,384.0
7,1477045740188DSC_8170.png,40.0,102.0,43.0,421.0
8,14581995558443A.png,75.0,139.0,65.0,399.0
9,JPEG_20161116_182832_100030341860.png,48.0,106.0,60.0,387.0
10,JPEG_20160530_192334_1000619661289.png,106.0,255.0,158.0,383.0
11,JPEG_20161125_191952_1000927237615.png,42.0,192.0,166.0,331.0
12,JPEG_20160628_134746_100032377535.png,58.0,187.0,148.0,350.0
13,1480939320625_R2A1891.png,198.0,281.0,94.0,457.0
14,147443927352511472729987648-Roadster-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-4651472729987609-2.png,85.0,192.0,103.0,402.0
15,JPEG_20161121_172758_1000839911129.png,37.0,100.0,41.0,441.0
16,JPEG_20161129_143202_1000894632165.png,64.0,149.0,74.0,403.0
17,JPEG_20161125_141831_1000294007448.png,124.0,179.0,41.0,439.0
18,JPEG_20161117_131149_1000923828142.png,130.0,186.0,56.0,394.0
19,1469623981884JPEG_20160628_124209_1000257249432.png,182.0,260.0,89.0,390.0
20,1472628968429w_molokini_ii_blk_grl_03.png,81.0,206.0,117.0,470.0
21,JPEG_20160831_090533_1000336033861.png,37.0,104.0,43.0,474.0
22,JPEG_20160527_164502_1000310382860.png,84.0,134.0,39.0,385.0
23,JPEG_20160621_103352_1000549045846.png,123.0,175.0,37.0,417.0
24,1476528074556Untitled4.png,118.0,174.0,40.0,435.0
25,1480964822711IMG_3035.png,74.0,225.0,167.0,365.0
26,JPEG_20161123_170728_1000761896744.png,210.0,274.0,63.0,449.0
27,1476773279562DSC_8615.png,63.0,127.0,63.0,428.0
28,1469433305869DSC_0033.png,150.0,219.0,77.0,422.0
29,1472821248194DSC_2930.png,40.0,108.0,42.0,474.0
30,147444083818811472209501113-Roadster-Men-Navy-Blue-Printed-Round-Neck-T-Shirt-5991472209500910-4.png,58.0,185.0,146.0,333.0
31,1479750872610SpringField16-11-201610499.png,68.0,207.0,152.0,350.0
32,1480944525953_R2A1980.png,94.0,260.0,176.0,413.0
33,JPEG_20161208_144423_1000780002708.png,54.0,163.0,117.0,336.0
34,1467979429468DSC_0058.png,77.0,183.0,104.0,353.0
35,1469255167073DSC_0346.png,61.0,139.0,71.0,386.0
36,1468885065003DSC_0390.png,63.0,200.0,155.0,346.0
37,1474637936707DSC06844.png,30.0,85.0,36.0,397.0
38,JPEG_20160810_152538_1000534824862.png,137.0,205.0,51.0,480.0
39,1473418104422black-khloe-modal-midi-dress3.png,56.0,189.0,151.0,317.0
40,JPEG_20160513_125940_1000549738784.png,56.0,170.0,125.0,304.0
41,1474630562288DSC08174.png,51.0,143.0,89.0,323.0
42,1472044297722DSC_0444.png,80.0,133.0,49.0,407.0
43,1480516814377E-mazingshawls29-11-201618367.png,63.0,135.0,68.0,399.0
44,1471628051330AddProductView.png,93.0,157.0,45.0,466.0
45,1478945654545eMazingShawls3720.png,43.0,206.0,184.0,361.0
46,1478947686456eMazingShawls3775.png,45.0,196.0,174.0,344.0
47,JPEG_20160711_112931_1000790648239.png,224.0,286.0,58.0,437.0
48,1474285179478PS-440196.png,72.0,227.0,166.0,362.0
49,JPEG_20161104_131946_1000989886724.png,39.0,101.0,48.0,435.0
50,147742624416620161025_142336.png,80.0,195.0,115.0,349.0
51,1480605949434_R2A6043.png,169.0,245.0,86.0,407.0
52,1469441347577DSC_0153.png,52.0,113.0,55.0,445.0
53,1468497064664DSC_0013.png,34.0,96.0,40.0,445.0
54,147444920462511469010981406-Mast--Harbour-Women-Black-Wedges--1821469010981220-1.png,32.0,92.0,38.0,426.0
55,JPEG_20160820_160818_1000529574766.png,179.0,234.0,56.0,386.0
